,Name,City,State,School Ownership,Number of Undergraduate Students,Share of Female Students,Share of Male Students,Share of Undergraduates Aged 25 and Above,Average Age of Entry,Admission Rate,Completion Rate,Median Earnings of Students 10 Years After Entry,Median Debt for Students Who Have Completed,Share of Students Who Received a Federal Loan,Median Family Income,Average Cost of Attendance,Average Faculty Salary,Net Tuition Revenue per Student
147,California State University-Chico,Chico,CA,1,16546,0.5745917085,0.42540829150000004,0.1332,22.0,0.6778,0.6553,48100.0,16750.0,0.7440326633,30780.0,22917.0,9409.0,4430
148,Eastern Michigan University,Ypsilanti,MI,1,16536,0.6105377512,0.3894622488,0.2241,22.0,0.4474,0.404,39300.0,25270.0,0.8730309614,36983.0,22203.0,9560.0,10343
149,Ball State University,Muncie,IN,1,16277,0.5982266556,0.4017733444,0.0595,20.0,0.6208,0.6157,41100.0,24513.5,0.8901357717,61975.0,23468.0,7561.0,8484
150,Boise State University,Boise,ID,1,16265,0.56921797,0.43078203000000004,0.2188,23.0,0.8399,0.4394,37100.0,22750.0,0.8131447587,42915.0,18284.0,7763.0,8148
151,CUNY New York City College of Technology,Brooklyn,NY,1,16214,0.457400722,0.542599278,0.2838,22.0,0.772,0.1826,40600.0,10266.0,0.1317689531,20012.0,13635.0,10324.0,2874
152,University of Virginia-Main Campus,Charlottesville,VA,1,16207,0.5454545455,0.45454545449999995,0.0449,20.0,0.2735,0.9458,61200.0,19000.0,0.8483766234,75580.0,31186.0,13819.0,21020
153,University of North Carolina at Greensboro,Greensboro,NC,1,15988,0.6852653718,0.3147346282,0.1785,22.0,0.7804,0.5429,37500.0,22546.0,0.8438698503,37092.0,19276.0,8534.0,6059
154,University of Memphis,Memphis,TN,1,15901,0.6019404019,0.3980595981,0.2179,22.0,0.8482,0.4321,37400.0,25674.5,0.8385308385,28800.0,22201.0,8795.0,8105
155,CUNY Hunter College,New York,NY,1,15820,0.6719516182,0.32804838179999996,0.2189,22.0,0.4018,0.5192,47200.0,11598.5,0.2254004577,22326.0,13347.0,11961.0,5989
156,CUNY Queens College,Queens,NY,1,15762,0.5671899529,0.43281004710000004,0.2764,23.0,0.4273,0.5384,48200.0,10700.0,0.2372056515,20800.0,13815.0,11177.0,4976
157,Chamberlain University-Illinois,Addison,IL,3,15689,0.8969863014,0.10301369859999998,0.8873,33.0,0.62,0.5,58400.0,22893.5,0.9515068493,46046.0,30421.0,7647.0,19611
158,Oakland University,Rochester Hills,MI,1,15562,0.6078042328,0.39219576720000004,0.1698,21.0,0.8441,0.4571,43100.0,25000.0,0.8718584656,45384.0,21262.0,9220.0,11769
159,Seminole State College of Florida,Sanford,FL,1,15438,0.607828089,0.39217191100000004,0.3565,24.0,,0.369,31800.0,9342.0,0.4621386544,24900.0,12956.0,6573.0,2091
160,Drexel University,Philadelphia,PA,2,15335,0.5680428135,0.43195718650000003,0.1426,23.0,0.7904,0.709,68800.0,26000.0,0.9195336391,52511.0,69462.0,11028.0,27523
161,University of Toledo,Toledo,OH,1,15109,0.5252525253,0.4747474747,0.1369,21.0,0.9435,0.4075,43800.0,23037.5,0.8603949947,48412.0,22208.0,8707.0,10646
162,Rowan University,Glassboro,NJ,1,15089,0.4875411378,0.5124588621999999,0.1158,21.0,0.6942,0.6894,50000.0,19672.0,0.9000156715,61093.0,28787.0,8812.0,11610
163,University of Akron Main Campus,Akron,OH,1,15047,0.5014330558,0.49856694420000003,0.1171,21.0,0.9255,0.3789,36500.0,25000.0,0.8712979391,44867.0,22762.0,9571.0,9845
164,CUNY Bernard M Baruch College,New York,NY,1,14903,0.5147323033,0.48526769670000003,0.2453,22.0,0.2925,0.6987,57200.0,10723.5,0.2116421128,20824.0,13510.0,13272.0,6882
165,Western Washington University,Bellingham,WA,1,14876,0.6000439271,0.3999560729,0.0824,21.0,0.8479,0.6904,45800.0,19333.0,0.8383483418,51312.0,22374.0,9726.0,7639
166,Cornell University,Ithaca,NY,2,14815,0.5335580754,0.4664419246,0.0084,19.0,0.1267,0.9339,77200.0,12742.0,0.7827152927,75110.0,67613.0,14876.0,28774
167,Georgia Institute of Technology-Main Campus,Atlanta,GA,1,14810,0.3774373259,0.6225626741,0.0385,20.0,0.234,0.8526,79100.0,23750.0,0.813718663,71161.0,27245.0,12691.0,13590
168,Syracuse University,Syracuse,NY,2,14788,0.5547775017,0.44522249830000005,0.0326,20.0,0.4688,0.8272,62100.0,27000.0,0.9331375649,78436.0,63195.0,11299.0,24490
169,University of Louisiana at Lafayette,Lafayette,LA,1,14753,0.6164128596,0.38358714039999997,0.1454,21.0,0.5087,0.4412,39900.0,20000.0,0.8145516074,41647.0,20443.0,8559.0,9443
170,DePaul University,Chicago,IL,2,14591,0.550042337,0.44995766299999995,0.1642,22.0,0.7174,0.7082,53300.0,23256.5,0.9068585944,48556.0,52912.0,10699.0,23156
171,University of Louisville,Louisville,KY,1,14550,0.5513169846,0.4486830154,0.1558,21.0,0.753,0.5441,41800.0,19755.0,0.8030881017,47376.0,25728.0,8791.0,11940
172,Western Kentucky University,Bowling Green,KY,1,14529,0.6025347381,0.3974652619,0.13,22.0,0.9545,0.4312,34700.0,23197.0,0.8327989006,41838.0,18993.0,7308.0,8524
173,California State University-San Marcos,San Marcos,CA,1,14516,0.6596839397,0.34031606029999995,0.2206,23.0,0.5676,0.5313,47300.0,17498.0,0.6062109519,31282.0,19191.0,9419.0,6825
174,Montana State University,Bozeman,MT,1,14383,0.4928072339,0.5071927661,0.1246,21.0,0.8311,0.5449,43200.0,23505.0,0.8795725442,56045.0,19980.0,8705.0,10272
175,Baylor University,Waco,TX,2,14284,0.6033829841,0.3966170159,0.0198,20.0,0.3895,0.7659,51600.0,24000.0,0.9146680131,80000.0,59063.0,9717.0,23397
176,University of Central Oklahoma,Edmond,OK,1,14267,0.6142122984,0.3857877016,0.2266,22.0,0.7552,0.3771,38800.0,20000.0,0.7433989013,35444.0,22669.0,6744.0,7305
177,West Chester University of Pennsylvania,West Chester,PA,1,14223,0.6078871433,0.39211285669999996,0.0972,21.0,0.685,0.726,48400.0,23292.0,0.9357165758,75332.0,25279.0,9490.0,9743
178,University of North Carolina Wilmington,Wilmington,NC,1,14183,0.6308737498,0.3691262502,0.1849,22.0,0.6652,0.7248,41600.0,20500.0,0.8607284393,52650.0,22644.0,8518.0,7496
179,Universidad Ana G. Mendez-Gurabo Campus,Gurabo,PR,2,14061,0.579454058,0.42054594199999995,0.3277,23.0,,0.2755,19700.0,8632.0,0.4887886912,10530.0,13465.0,4431.0,7676
180,University of Rhode Island,Kingston,RI,1,14008,0.5947167188,0.4052832812,0.0856,20.0,0.7006,0.656,52900.0,23000.0,0.9195342371,80297.0,27834.0,10450.0,13442
181,University of North Florida,Jacksonville,FL,1,13962,0.6145483297,0.38545167030000005,0.1972,22.0,0.5871,0.5728,43200.0,15947.0,0.7560782763,37074.0,20854.0,7786.0,5670
182,Bowling Green State University-Main Campus,Bowling Green,OH,1,13790,0.6013106861,0.39868931389999995,0.0611,20.0,0.732,0.5306,40500.0,26000.0,0.9238999599,63845.0,23772.0,8821.0,9154
183,CUNY Brooklyn College,Brooklyn,NY,1,13712,0.5883275808,0.4116724192,0.2672,23.0,0.4043,0.5812,43900.0,10500.0,0.235174145,19956.0,13404.0,11407.0,4470
184,Binghamton University,Vestal,NY,1,13702,0.5177916757,0.48220832430000005,0.0266,20.0,0.4036,0.8231,61600.0,19500.0,0.8885054992,61401.0,24725.0,9258.0,8520
185,Northeastern University,Boston,MA,2,13666,0.541089566,0.458910434,0.0122,21.0,0.2744,0.8713,67400.0,27000.0,0.9164358264,80224.0,65469.0,12822.0,35516
186,Florida Gulf Coast University,Fort Myers,FL,1,13636,0.5940099834,0.4059900166,0.1135,21.0,0.6426,0.481,42100.0,19828.5,0.7352329451,43546.0,19400.0,8000.0,5460
187,Troy University,Troy,AL,1,13634,0.6510154346,0.3489845654,0.3411,25.0,0.8812,0.39,37000.0,25000.0,0.861413485,29641.0,18585.0,6444.0,9357
188,Indian River State College,Fort Pierce,FL,1,13631,0.5956900975,0.4043099025,0.3238,23.0,,0.3898,30400.0,6332.5,0.2014708397,21577.0,6276.0,8243.0,1346
189,California State University-East Bay,Hayward,CA,1,13433,0.659212283,0.340787717,0.3327,24.0,0.7405,0.4237,51700.0,15092.5,0.5987983979,24527.0,21267.0,9811.0,6706
190,Northern Illinois University,Dekalb,IL,1,13430,0.534562212,0.465437788,0.159,21.0,0.5332,0.4497,45500.0,23208.0,0.9040487163,39109.0,28520.0,8218.0,7816
191,SUNY at Albany,Albany,NY,1,13320,0.5287925697,0.4712074303,0.0624,20.0,0.5401,0.6503,51500.0,20500.0,0.8803405573,43412.0,24742.0,9202.0,7466
192,University of Massachusetts-Lowell,Lowell,MA,1,13284,0.4343958488,0.5656041512000001,0.2448,22.0,0.6883,0.6008,53300.0,24604.5,0.933283914,53801.0,27313.0,11628.0,13295
193,California State University-Dominguez Hills,Carson,CA,1,13258,0.6572807723,0.34271922769999996,0.3655,25.0,0.5368,0.4291,44700.0,13740.5,0.4466613033,20044.0,14463.0,9336.0,4241
194,Santa Fe College,Gainesville,FL,1,12925,0.5685126582,0.43148734180000003,0.2611,22.0,,0.5048,34600.0,10700.0,0.4852848101,25000.0,12829.0,6033.0,2599
195,University of Alabama at Birmingham,Birmingham,AL,1,12866,0.6390907397,0.36090926030000003,0.2296,23.0,0.9181,0.5292,41200.0,21833.0,0.8574622694,34489.0,24129.0,10640.0,11612
196,Rochester Institute of Technology,Rochester,NY,2,12858,0.3531583265,0.6468416735,0.0525,20.0,0.5672,0.673,62400.0,28000.0,0.9394995898,69191.0,52715.0,10342.0,21737
197,University of New Hampshire-Main Campus,Durham,NH,1,12847,0.5576019545,0.44239804549999995,0.0251,20.0,0.7651,0.7777,51400.0,27000.0,0.9633527532,89334.0,31835.0,11673.0,13700
198,Eastern Kentucky University,Richmond,KY,1,12750,0.5814347291,0.41856527089999995,0.194,22.0,0.8737,0.4383,36100.0,23125.0,0.8358990148,39224.0,20580.0,7140.0,6904
199,Florida SouthWestern State College,Fort Myers,FL,1,12618,0.6214870724,0.3785129276,0.2705,23.0,,0.3481,34700.0,8000.0,0.4087040308,25854.0,13223.0,6419.0,1585
200,University of Hawaii at Manoa,Honolulu,HI,1,12583,0.5987996307,0.4012003693,0.1741,22.0,0.8315,0.5995,45800.0,19000.0,0.7403047091,40609.0,23015.0,11786.0,11326
201,CUNY City College,New York,NY,1,12480,0.5377492877,0.46225071230000003,0.2349,22.0,0.4637,0.4997,46300.0,11580.0,0.2256054131,20074.0,13698.0,12370.0,4119
202,CUNY John Jay College of Criminal Justice,New York,NY,1,12426,0.6098530683,0.39014693170000003,0.226,22.0,0.3875,0.4745,44900.0,10000.0,0.2222990493,19475.0,14067.0,11167.0,4181
203,University of Nebraska at Omaha,Omaha,NE,1,12424,0.5608272506,0.43917274939999995,0.2075,22.0,0.8653,0.4708,44200.0,19500.0,0.7433090024,46908.0,17935.0,8303.0,6562
204,University of Houston-Downtown,Houston,TX,1,12310,0.6537602383,0.34623976170000004,0.496,26.0,0.8408,0.2076,45000.0,18750.0,0.6275130305,24909.0,17017.0,8105.0,7432
205,Eastern Florida State College,Cocoa,FL,1,12306,0.5937711578,0.4062288422,0.3421,25.0,,0.4172,29300.0,9139.0,0.4336492891,22005.0,10069.0,6007.0,1896
206,University of Puerto Rico-Mayaguez,Mayaguez,PR,1,12208,0.4739855614,0.5260144386000001,0.064,19.0,0.7354,0.4726,,7500.0,0.1446353,20875.0,14159.0,8409.0,727
207,Fort Hays State University,Hays,KS,1,12174,0.6360037261,0.3639962739,0.3055,26.0,0.8862,0.438,38200.0,20000.0,0.8476944574,42453.0,16753.0,6631.0,5778
208,University of Massachusetts-Boston,Boston,MA,1,12159,0.5690204158,0.43097958420000004,0.2628,23.0,0.7515,0.4803,48200.0,22268.0,0.8023974527,31247.0,21777.0,10965.0,13920
209,DeVry University-Illinois,Chicago,IL,3,12146,0.6059049017,0.3940950983,0.7952,31.0,0.9473,0.2062,44100.0,35766.5,0.8188157573,22648.0,35766.0,7684.0,10382
210,College of Staten Island CUNY,Staten Island,NY,1,12118,0.5639557083,0.43604429170000003,0.1877,20.0,,0.3018,41500.0,14000.0,0.2817869416,23633.0,14405.0,11028.0,3760
211,Columbia College,Columbia,MO,2,11975,0.6236742176,0.37632578240000003,0.7218,29.0,,0.2627,38300.0,22250.0,0.709178997,25623.0,33112.0,7707.0,7424
212,Minnesota State University-Mankato,Mankato,MN,1,11966,0.5695216908,0.43047830919999996,0.1106,21.0,0.6096,0.4768,44900.0,22198.0,0.9102706711,68513.0,18993.0,9101.0,6440
213,University of Puerto Rico-Rio Piedras,San Juan,PR,1,11763,0.6184486373,0.3815513627,0.0592,19.0,0.3988,0.5784,,5500.0,0.0716981132,19937.0,10977.0,5911.0,1046
214,Kean University,Union,NJ,1,11761,0.6236462094,0.37635379059999996,0.2548,23.0,0.8222,0.4863,46100.0,24000.0,0.8570397112,32770.0,25015.0,9007.0,9392
215,St John's University-New York,Queens,NY,2,11756,0.5904467853,0.40955321469999995,0.0227,19.0,0.6773,0.5792,55200.0,25500.0,0.864148202,50604.0,51401.0,12336.0,20692
216,University of Southern Mississippi,Hattiesburg,MS,1,11747,0.6505441354,0.3494558646,0.2025,23.0,0.9843,0.4674,36400.0,25000.0,0.841768872,27959.0,20866.0,7553.0,6718
217,George Washington University,Washington,DC,2,11718,0.6346801347,0.36531986530000005,0.1051,21.0,0.4098,0.8063,69600.0,25000.0,0.9282828283,71358.0,66996.0,14272.0,31240
218,North Dakota State University-Main Campus,Fargo,ND,1,11687,0.4788853162,0.5211146838,0.072,20.0,0.9159,0.5798,48200.0,22567.0,0.9320471597,80195.0,19874.0,9012.0,9311
219,Cleveland State University,Cleveland,OH,1,11647,0.5893367185,0.4106632815,0.2405,23.0,0.9006,0.4315,41300.0,22000.0,0.8752776896,33556.0,21949.0,9389.0,10618
220,Georgia Gwinnett College,Lawrenceville,GA,1,11584,0.5964338782,0.40356612179999996,0.197,22.0,,0.1488,,19750.0,0.6618127786,27959.0,17762.0,6888.0,3548
221,Ferris State University,Big Rapids,MI,1,11549,0.5511797363,0.44882026370000005,0.2106,23.0,0.7416,0.4491,44500.0,23487.5,0.887925052,41668.0,21896.0,8931.0,10727
222,University of Colorado Denver/Anschutz Medical Campus,Denver,CO,1,11531,0.5792682927,0.4207317073,0.215,24.0,0.6522,0.4485,56400.0,20500.0,0.7571138211,33313.0,21105.0,10326.0,14337
223,ECPI University,Virginia Beach,VA,3,11512,0.6373831776,0.36261682240000004,0.6832,29.0,0.7129,0.4741,34600.0,20000.0,0.8401869159,22890.0,25429.0,5591.0,14148
224,Central Washington University,Ellensburg,WA,1,11468,0.5458908218,0.45410917819999996,0.188,23.0,0.8634,0.5154,46500.0,20000.0,0.8408318336,42459.0,20774.0,8149.0,5730
225,Baker College,Flint,MI,2,11431,0.6670299728,0.3329700272,0.5686,26.0,,0.1261,27200.0,23340.0,0.7455949137,23085.0,18725.0,5328.0,9547
226,Southern Illinois University-Edwardsville,Edwardsville,IL,1,11339,0.5792239289,0.42077607110000004,0.1465,21.0,0.8951,0.4853,43000.0,21434.0,0.8712611156,49753.0,22078.0,7868.0,8822
227,University of Alaska Anchorage,Anchorage,AK,1,11332,0.5987699877,0.4012300123,0.4178,25.0,0.8283,0.2431,45400.0,17833.5,0.6147601476,33525.0,19126.0,9248.0,6834
228,Tarleton State University,Stephenville,TX,1,11283,0.6463891249,0.3536108751,0.2144,23.0,0.5038,0.4635,42500.0,19500.0,0.8533559898,40809.0,20078.0,7699.0,6155
229,Wright State University-Main Campus,Dayton,OH,1,11251,0.5595056712,0.44049432879999995,0.1741,21.0,0.9677,0.3576,39500.0,24282.0,0.8716776706,45025.0,21261.0,9173.0,9612
230,Loyola University Chicago,Chicago,IL,2,11193,0.6853006682,0.3146993318,0.0777,20.0,0.7059,0.7715,54100.0,25000.0,0.9024498886,60527.0,56178.0,10443.0,24812
231,New Mexico State University-Main Campus,Las Cruces,NM,1,11173,0.5765614035,0.42343859650000004,0.2047,23.0,0.6384,0.4586,34600.0,17000.0,0.4610526316,23951.0,17124.0,8503.0,4583
232,University of Maryland-Baltimore County,Baltimore,MD,1,11130,0.4939527213,0.5060472787,0.1475,22.0,0.6021,0.6342,55000.0,20906.0,0.7905442551,46405.0,24503.0,9982.0,9968
233,Wichita State University,Wichita,KS,1,10970,0.5934139785,0.4065860215,0.2823,23.0,0.938,0.4757,40400.0,21000.0,0.8454301075,43391.0,18924.0,7651.0,8568
234,CUNY Lehman College,Bronx,NY,1,10949,0.71029969,0.28970030999999996,0.4517,25.0,0.35,0.4556,43100.0,9993.0,0.2977953841,17797.0,13568.0,10714.0,4310
235,Southeastern Louisiana University,Hammond,LA,1,10929,0.6394316163,0.3605683837,0.1045,20.0,0.8834,0.4135,37200.0,21000.0,0.8164594435,34942.0,19170.0,6544.0,6254
236,Madison Area Technical College,Madison,WI,1,10917,0.5684697366,0.4315302634,0.3331,25.0,,0.2141,36500.0,12250.0,0.6830886789,31113.0,14887.0,10387.0,3903
237,Southern Illinois University-Carbondale,Carbondale,IL,1,10896,0.4896289248,0.5103710752,0.2005,22.0,0.7601,0.4012,42900.0,21500.0,0.8677450048,37454.0,27119.0,7669.0,9414
238,Daytona State College,Daytona Beach,FL,1,10892,0.6061886792,0.39381132080000003,0.3617,25.0,,0.3576,28700.0,7624.0,0.3693584906,21285.0,10522.0,6779.0,1900
239,East Tennessee State University,Johnson City,TN,1,10881,0.5834216663,0.41657833369999997,0.1653,22.0,0.8547,0.4116,35100.0,20000.0,0.7593809625,33885.0,21904.0,7201.0,8636
240,Indiana State University,Terre Haute,IN,1,10817,0.5856593682,0.4143406318,0.1683,22.0,0.8451,0.3872,39000.0,23708.0,0.8636135718,39723.0,21056.0,7503.0,5851
241,Thomas Edison State University,Trenton,NJ,1,10787,0.5028980566,0.4971019434,0.8554,33.0,,,49600.0,11099.0,0.7371292192,34693.0,,,11163
242,Northern Kentucky University,Highland Heights,KY,1,10728,0.585591133,0.414408867,0.1761,22.0,0.9038,0.3967,37500.0,24914.0,0.8565270936,48195.0,17377.0,7717.0,8833
243,University of South Alabama,Mobile,AL,1,10712,0.6229367631,0.3770632369,0.159,21.0,0.8208,0.4007,37800.0,24761.0,0.8833869239,36199.0,18857.0,7203.0,9198
244,University of Pennsylvania,Philadelphia,PA,2,10660,0.5721331689,0.4278668311,0.0541,22.0,0.093,0.9572,85900.0,12988.0,0.7570900123,39832.0,69340.0,17435.0,38594
245,Stephen F Austin State University,Nacogdoches,TX,1,10655,0.6564477848,0.3435522152,0.0925,21.0,0.6543,0.4377,41900.0,25000.0,0.8660996835,44426.0,20735.0,7475.0,7549
246,Universidad Ana G. Mendez-Cupey Campus,San Juan,PR,2,10617,0.6213793103,0.37862068969999996,0.3271,23.0,,0.3289,19400.0,9644.0,0.4805517241,6993.0,13515.0,4174.0,7045
247,University of Miami,Coral Gables,FL,2,10613,0.5744101633,0.42558983669999995,0.0595,20.0,0.357,0.8372,60100.0,19000.0,0.8484573503,54690.0,62810.0,12193.0,29896
248,Savannah College of Art and Design,Savannah,GA,2,10568,0.690795353,0.30920464700000005,0.0868,20.0,0.9287,0.6482,36400.0,26374.5,0.9240393208,59559.0,54483.0,9046.0,25842
249,University of Wisconsin-Whitewater,Whitewater,WI,1,10543,0.5143684562,0.48563154379999995,0.0903,21.0,0.7035,0.6167,42600.0,24593.5,0.9182445979,70028.0,17480.0,7469.0,6975
250,National University College,Bayamon,PR,3,10524,0.6684603558,0.33153964420000004,0.5756,27.0,0.5933,0.2392,17400.0,10685.0,0.586426532,0.0,14223.0,2904.0,5259
251,University of Vermont,Burlington,VT,1,10513,0.6014972646,0.39850273540000003,0.0615,20.0,0.672,0.7495,47300.0,22500.0,0.9343507054,92817.0,31606.0,9791.0,24910
252,Eastern Washington University,Cheney,WA,1,10500,0.575044405,0.424955595,0.1892,22.0,0.962,0.5245,43100.0,20500.5,0.8226021314,38218.0,19672.0,8422.0,7220
253,University of West Georgia,Carrollton,GA,1,10468,0.6435541859,0.3564458141,0.1027,21.0,0.5862,0.4049,38200.0,25000.0,0.8656052046,36595.0,21257.0,6452.0,5755
254,University of North Dakota,Grand Forks,ND,1,10351,0.4770762379,0.5229237621,0.1714,22.0,0.8348,0.5362,48700.0,24489.0,0.930573749,78651.0,19670.0,8396.0,10757
255,University of Colorado Colorado Springs,Colorado Springs,CO,1,10344,0.5588865096,0.44111349040000003,0.2444,23.0,0.9281,0.4329,43900.0,21000.0,0.8092077088,42591.0,21148.0,8060.0,11334
256,Embry-Riddle Aeronautical University-Worldwide,Daytona Beach,FL,2,10256,0.1816434407,0.8183565593,0.8422,25.0,0.6327,0.2543,66200.0,24250.0,0.6299855839,38662.0,22656.0,6439.0,11541
257,Texas A & M University-Corpus Christi,Corpus Christi,TX,1,10170,0.6254948535,0.3745051465,0.1467,21.0,0.6046,0.3625,43400.0,22810.0,0.8366983373,37435.0,20140.0,8062.0,7716
258,Universidad Ana G. Mendez-Carolina Campus,Carolina,PR,2,10140,0.5856521739,0.4143478261,0.3532,24.0,,0.2813,19600.0,8282.0,0.5360869565,8983.0,13315.0,4082.0,7342
259,The University of Tennessee-Chattanooga,Chattanooga,TN,1,10097,0.5809781273,0.4190218727,0.117,21.0,0.8279,0.4517,38100.0,20619.0,0.8380437454,46549.0,21748.0,8217.0,6362
260,University of Wisconsin-Eau Claire,Eau Claire,WI,1,10070,0.644375324,0.35562467600000003,0.0538,20.0,0.7567,0.6656,46200.0,22798.0,0.9079834111,79294.0,19591.0,7596.0,6938
261,Youngstown State University,Youngstown,OH,1,10039,0.5504444444,0.44955555560000005,0.1607,21.0,0.6363,0.3443,35900.0,26495.5,0.8364444444,42139.0,17278.0,8027.0,7432
262,North Carolina A & T State University,Greensboro,NC,1,10011,0.569954356,0.430045644,0.1209,21.0,0.6223,0.4274,34700.0,28270.0,0.9285572534,32000.0,19243.0,8929.0,6271
263,Indiana University of Pennsylvania-Main Campus,Indiana,PA,1,9965,0.5809192739,0.4190807261,0.0712,20.0,0.9082,0.5585,40800.0,27000.0,0.9528775589,56548.0,26254.0,9704.0,9479
264,South Dakota State University,Brookings,SD,1,9704,0.5559574949,0.4440425051,0.0963,20.0,0.9137,0.5492,44400.0,25000.0,0.9520687316,73000.0,26357.0,8135.0,8479
265,University of Northern Iowa,Cedar Falls,IA,1,9686,0.5950834879,0.4049165121,0.0822,20.0,0.8083,0.6753,44600.0,20354.0,0.9141929499,70582.0,20593.0,8481.0,6325
266,Saint Cloud State University,Saint Cloud,MN,1,9676,0.5498132005,0.45018679949999996,0.1292,21.0,0.8578,0.4434,44200.0,21997.0,0.8686176837,51641.0,19068.0,9336.0,5582
267,Boston College,Chestnut Hill,MA,2,9636,0.5189448441,0.48105515590000003,0.0206,19.0,0.3241,0.9211,72500.0,19000.0,0.9496402878,103007.0,68039.0,14977.0,33677
268,University of Wyoming,Laramie,WY,1,9623,0.5437196391,0.4562803609,0.1771,22.0,0.9682,0.582,47300.0,18079.0,0.8188757807,54733.0,19615.0,9440.0,5188
269,The University of West Florida,Pensacola,FL,1,9602,0.5969785575,0.40302144250000005,0.3241,24.0,0.4958,0.4405,38900.0,17750.0,0.7585282651,34583.0,16910.0,8083.0,5928
270,College of Charleston,Charleston,SC,1,9599,0.6578234976,0.34217650239999997,0.0844,20.0,0.8045,0.6921,40700.0,21500.0,0.8992961559,58643.0,28426.0,8594.0,13636
271,Coastal Carolina University,Conway,SC,1,9546,0.5346553716,0.4653446284,0.0668,20.0,0.6119,0.4229,38500.0,25000.0,0.9368502118,55785.0,23999.0,7781.0,13091
272,Park University,Parkville,MO,2,9442,0.5412748171,0.4587251829,0.6919,29.0,0.6904,0.2333,45900.0,18125.0,0.6193834901,30016.0,23850.0,6495.0,9497
273,University of Wisconsin-La Crosse,La Crosse,WI,1,9436,0.5774361949,0.4225638051,0.0354,20.0,0.7337,0.7055,48000.0,23000.0,0.9269141531,83835.0,17235.0,7085.0,6956
274,Texas Woman's University,Denton,TX,1,9417,0.9028707101,0.09712928990000003,0.2597,24.0,0.8571,0.3551,44700.0,20370.0,0.8234405353,32124.0,17539.0,8332.0,6019
275,Saint Leo University,Saint Leo,FL,2,9404,0.6721270161,0.32787298389999997,0.6821,30.0,0.5849,0.4798,43800.0,24750.0,0.7745715726,22361.0,36298.0,7677.0,10889
276,Fordham University,Bronx,NY,2,9403,0.6138842975,0.38611570250000005,0.0597,20.0,0.4644,0.7946,59200.0,26000.0,0.8846280992,97877.0,65105.0,13551.0,27045
277,Bridgewater State University,Bridgewater,MA,1,9390,0.5927823569,0.40721764309999997,0.1606,21.0,0.8036,0.5941,45300.0,24000.0,0.927600802,57864.0,23109.0,9280.0,9301
278,Schoolcraft College,Livonia,MI,1,9359,0.6023780734,0.39762192659999995,0.3135,25.0,,0.1709,32700.0,8316.0,0.3784764208,21237.0,10201.0,9840.0,4148
279,Pasco-Hernando State College,New Port Richey,FL,1,9336,0.6106362773,0.38936372269999997,0.2617,24.0,,0.3206,29700.0,7812.0,0.2974358974,23149.0,10764.0,5994.0,1587
280,University of Wisconsin Colleges,Madison,WI,1,9321,0.5478116955,0.4521883045,0.176,21.0,0.7946,0.2254,36000.0,9599.0,0.6156675248,42300.0,12200.0,5705.0,4316
281,Central Connecticut State University,New Britain,CT,1,9317,0.4913224151,0.5086775849,0.1882,22.0,0.6676,0.5209,47900.0,22000.0,0.8753361036,48269.0,22576.0,8988.0,8693
282,Western Carolina University,Cullowhee,NC,1,9234,0.5731678205,0.42683217949999996,0.1735,22.0,0.3884,0.5903,37700.0,22500.0,0.8646455001,46182.0,20819.0,7836.0,6104
283,University of Minnesota-Duluth,Duluth,MN,1,9199,0.4882111738,0.5117888262,0.0459,20.0,0.7661,0.5924,47200.0,24250.0,0.9236289083,83308.0,23913.0,8175.0,8876
284,University of Wisconsin-Oshkosh,Oshkosh,WI,1,9162,0.6097161572,0.39028384279999995,0.1151,21.0,0.6309,0.5234,42700.0,23000.0,0.9123908297,65029.0,18333.0,7390.0,5141
285,University of Northern Colorado,Greeley,CO,1,9104,0.6510354677,0.3489645323,0.1123,21.0,0.8908,0.4775,42000.0,21027.0,0.854796477,51738.0,22604.0,7749.0,10560
286,Austin Peay State University,Clarksville,TN,1,9090,0.5990892892,0.40091071079999996,0.2672,23.0,0.9013,0.3752,34900.0,22500.0,0.752326272,31930.0,20962.0,7664.0,6318
287,Tennessee Technological University,Cookeville,TN,1,9084,0.5007582651,0.4992417349,0.1071,21.0,0.644,0.4941,40500.0,16532.0,0.737336973,40770.0,23952.0,8012.0,5935
288,California State University-Stanislaus,Turlock,CA,1,9054,0.6771726535,0.3228273465,0.2064,23.0,0.7706,0.5277,45400.0,14216.0,0.5052143685,28214.0,15732.0,9328.0,5058
289,University of Central Arkansas,Conway,AR,1,9034,0.6165561287,0.3834438713,0.1039,21.0,0.8995,0.4124,38300.0,20900.5,0.8268238762,37082.0,20702.0,6974.0,5443
290,Farmingdale State College,Farmingdale,NY,1,9005,0.4639451728,0.5360548272,0.2274,22.0,0.5903,0.5223,51700.0,15888.0,0.6323003576,40461.0,15794.0,8096.0,5940
291,Texas Christian University,Fort Worth,TX,2,8983,0.6027837259,0.39721627410000004,0.0547,20.0,0.4108,0.8262,52800.0,20466.0,0.8533190578,73000.0,60135.0,11372.0,26486
292,The University of Montana,Missoula,MT,1,8958,0.5540151713,0.4459848287,0.2463,23.0,0.9264,0.458,35500.0,22977.0,0.8582265237,36050.0,18490.0,7608.0,8309
293,Lamar University,Beaumont,TX,1,8928,0.653966831,0.34603316900000003,0.2694,25.0,0.8165,0.2964,39500.0,21180.0,0.8209323173,35526.0,19367.0,8283.0,6741
